CarID,Make,Model,Year,VIN,Price,Status
C6R3KV6GU3,BMW,X5,2019,PTN O91,41889.39,Available
CY84UZVVMC,BMW,320i,2020,XEE 062,26013.94,Available
CU789362X0,BMW,320i,2020,1-54074P,28379.02,Sold
C253G4QMIK,BMW,X5,2022,ORY 737,29047.16,Available
CN53NRSIZ4,BMW,X5,2021,8-93816,28666.55,In Maintenance
CL4OFH7Z7B,BMW,320i,2019,QRX F26,33935.59,Available
CFNOL6I7Z9,BMW,320i,2020,NP3 6038,48622.66,Sold
C49VNDE7VN,BMW,320i,2020,KWC-519,46666.96,In Maintenance
C4NID31AE4,BMW,X5,2020,ET5 0387,21382.62,Available
CCX0ED7TR1,BMW,X5,2021,4XU 772,38703.78,Available
CO31BCSXEM,BMW,320i,2023,61-3373M,40860.46,Sold
CTS0ECPBD7,BMW,320i,2019,MMY 706,25210.53,Available
CKA8RS2OQG,BMW,X5,2020,933O0,34988.07,In Maintenance
C6DHR3STN7,BMW,X5,2022,2BSG 76,33984.09,Sold
CX9QJEJHDE,BMW,320i,2023,5N 9M6LCP,49031.27,In Maintenance
